category,sequestration_rate,pollution_level,carbon_capture,air_quality_index,plant_type,plant_age,measurement_date,ambient_temperature,soil_moisture,light_intensity
Deciduous,34.17327920231037,391.0466903722845,296,194.93689947458915,Lowell Kessler,28,2025-04-13T01:41:56.274Z,-12.028862675651908,59.91671917401254,494.05853548576124
Coniferous,14.635088279377669,142.87613919982687,913,394.306512452662,Gwen Kertzmann,59,2025-06-22T16:05:23.779Z,39.3961337627843,60.83371449774131,959.5845313447062
Grassland,15.230559189105406,412.3758269250393,150,100.25389114790596,Gerard Hamill-Haley,71,2024-10-23T07:38:56.139Z,8.638546406291425,20.79462712421082,537.5307436590083
Deciduous,45.663174545392394,439.80136957834475,780,150.76525426795706,Jana Douglas,28,2025-02-28T15:55:20.015Z,26.596368243917823,83.91268416214734,347.5163167533465
Coniferous,27.568522672867402,302.28048302722163,608,377.17074428033084,Nathan Hoeger,66,2025-02-16T06:05:12.342Z,-15.501519991084933,67.40129913692363,374.24592268210836
Grassland,33.641869018087164,317.95045176218264,445,93.53279340220615,Gretchen Koss,31,2025-07-05T01:05:01.057Z,23.774522286839783,1.9775404275860637,471.7301867771894
Deciduous,82.90666235866956,325.2112523827236,425,375.6486436210107,Rolando Boyle,55,2025-03-09T13:46:40.923Z,0.5406434182077646,78.1998281669803,2.614289762917906
Coniferous,30.07577876886353,366.17999668070115,583,449.5599084482528,Gregg Windler,71,2024-12-17T03:29:05.203Z,-34.07370671629906,51.10046412050724,414.4967290654313
Grassland,65.0931924271863,365.07646110560745,73,62.45896983705461,Julius Yundt,22,2025-01-02T01:18:22.409Z,4.141777567565441,29.23289762227796,775.5320571644697
Deciduous,2.9370880271308124,190.63572652242146,818,98.25860522687435,Rhonda Howell Sr.,86,2025-09-13T12:31:07.911Z,-9.105441230349243,14.004315360449255,663.5283544415142
Coniferous,14.7054673274979,124.20619389531203,875,420.80184719362296,Wendell Dare DVM,66,2025-06-06T19:12:57.869Z,42.56191556341946,21.684878760017455,142.02522539068013
Grassland,14.16876805969514,349.9727149447426,955,483.38115700893104,Maryann Jacobi,31,2025-07-21T13:28:28.594Z,-12.730418518185616,89.70027125091292,645.8376383872237
Deciduous,80.92284696688876,78.38290176331066,247,492.2481514082756,Joanne Lindgren,6,2025-01-19T04:32:40.068Z,3.9446296403184533,8.708630516659468,874.6716952393763
Coniferous,66.44410872342996,111.14517108281143,526,303.7476727042813,Natalie Gutkowski,73,2025-05-31T02:03:51.266Z,12.958945240825415,74.31118006957695,426.2085255468264
Grassland,48.75463450467214,267.34300304972567,122,38.97825914085843,Marvin Kihn,56,2025-05-25T14:56:16.251Z,-45.81832513213158,18.010308786295354,429.5456480050925
Deciduous,95.31142440554686,455.1700259933714,554,119.76311076874845,Monique Mohr,99,2025-01-27T12:38:24.828Z,34.113797126337886,37.333851783769205,962.7217906431761
Coniferous,62.40937389200553,219.79950447194278,733,347.3615528412629,Susie Wisozk,33,2025-09-20T19:59:26.411Z,-31.105446349829435,20.66170624573715,755.4195689663757
Grassland,41.33591516781598,191.78049038397148,765,63.838660969631746,Steven Funk,16,2025-02-07T07:46:23.884Z,31.751315062865615,28.43406254495494,267.7080020077992
Deciduous,92.99835359747522,44.27964495215565,823,129.75003397651017,Kristina Wolff,49,2025-01-05T03:48:54.717Z,-32.58238059934229,29.923114443197846,85.89414314948954
Coniferous,53.108019339852035,221.7036123489961,90,25.31808717153035,Nathaniel Wintheiser DDS,82,2025-01-11T04:57:13.471Z,35.88307017926127,64.1534222047776,423.6632093072403
Grassland,89.26498957700096,466.37436278769746,33,260.0338234589435,Abraham Schaefer,85,2025-05-29T09:53:21.323Z,9.260876849293709,51.22112464881502,974.7929747032467
Deciduous,82.12520801043138,40.06656888430007,653,265.4094846206717,Patrick Kessler,70,2025-07-24T21:08:42.304Z,-31.379436561837792,60.91794403945096,225.68998884875327
Coniferous,92.90706612030044,349.7609061305411,584,395.47913431958295,Elias Klocko,66,2024-11-29T02:18:19.993Z,7.6707829954102635,14.874051596736535,214.21455361298285
Grassland,83.32470072899014,187.6062391353771,380,70.68534722481854,Michelle Toy,51,2025-09-10T09:03:16.494Z,0.34023572225123644,13.265865395311266,453.42060795612633
Deciduous,18.93832433456555,347.0335407392122,262,404.9169510740321,Lamar Cartwright Sr.,34,2025-03-21T12:09:38.851Z,0.10213390924036503,44.588806194253266,745.4397318533156
Coniferous,45.41419852920808,334.29822310921736,948,168.4408727507107,Sophia Lowe,88,2025-03-30T20:46:28.192Z,22.29403960518539,44.1574390954338,919.7437341976911
Grassland,92.68317624973133,381.01019918266684,590,351.4323995814193,Brandi Bernier,45,2025-05-03T06:51:01.380Z,3.28653531614691,36.9744462238159,603.9409166141413
Deciduous,18.761528949718922,308.52487878338434,586,14.412303595338017,Amber Daugherty,24,2025-05-24T20:19:13.644Z,37.982222228311,47.12143939896487,998.9189984076656
